"","P1PRIMPK","CHILDID","CREGION","GENDER","RACE","C1R4MSCL","WKBLACK","WKHISP","P1HFAMIL","C1CMOTOR","R1_KAGE","P1HIG_1","W1INCCAT","WKINCOME","A2TXSPEN","C1R4MPF","C1R4RPF","S2HVISIT","S2ORIENT","C7R4RPF","C7R4MPF","C6ATTLVL","P1NUMSIB"
"1670",6,"0113010C",1,2,2,28,1,2,3,14,67.87,13,NA,30000,NA,2,-9,NA,NA,NA,NA,NA,1
"1671",7,"0113011C",1,1,4,19.4,2,1,3,12,61.27,16,NA,9600,3,1,0,NA,NA,NA,NA,NA,2
"1672",2,"0113012C",1,1,4,19.79,2,1,1,10,59.07,17,10,80000,3,1,0,NA,NA,8,9,4,1
"1673",0,"0113013C",1,2,1,30.02,2,2,1,15,61.7,20,NA,55000,NA,2,3,NA,NA,NA,NA,NA,2
"1674",7,"0113014C",1,2,4,23.04,2,1,1,15,65.8,16,NA,36000,3,1,1,NA,NA,NA,NA,NA,1
"1675",6,"0113015C",1,2,7,22.78,2,2,1,13,58.33,18,12,1e+05,3,2,1,NA,NA,9,6,5,1
"1676",3,"0113016C",1,1,1,23.26,2,2,1,8,66.47,18,NA,170000,NA,2,1,NA,NA,NA,NA,NA,1
"1677",5,"0113017C",1,1,4,25.93,2,1,4,11,58.23,13,3,25000,3,2,1,NA,NA,7,9,4,0
"1678",0,"0113018C",1,1,2,31.29,1,2,5,15,79,20,NA,49000,NA,2,2,NA,NA,NA,NA,NA,0
"1679",3,"0113019C",1,2,4,19.98,2,1,4,-9,58.27,9,5,27000,3,1,-1,NA,NA,8,8,3,0
"1680",6,"0114001C",1,1,4,17.14,2,1,1,14,61.63,16,4,14000,-1,1,1,NA,NA,8,8,5,3
"1681",0,"0114002C",1,1,2,15.16,1,2,3,6,65.23,12,NA,14000,-1,0,0,NA,NA,NA,NA,4,3
"1682",NA,"0114003C",1,1,4,27.02,2,1,NA,12,69.4,NA,2,25000,-1,2,1,NA,NA,8,8,NA,NA
"1683",6,"0114004C",1,2,3,35.32,2,1,1,17,65.3,13,7,22000,-1,3,1,NA,NA,9,7,5,2
"1684",NA,"0114005C",1,1,-9,21.62,NA,NA,NA,8,67.6,NA,NA,NA,-1,2,2,NA,NA,NA,NA,4,NA
"1685",NA,"0114006C",1,2,2,NA,1,2,NA,NA,-9,NA,4,30000,-1,NA,NA,NA,NA,NA,NA,4,NA
"1686",NA,"0114007C",1,1,3,20.03,1,1,NA,11,60.33,NA,7,31000,4,1,2,NA,NA,NA,NA,NA,NA
"1687",2,"0114008C",1,2,4,14.62,2,1,3,8,62.33,11,NA,20316,4,0,0,NA,NA,NA,NA,3,2
"1688",5,"0114009C",1,1,4,17.63,2,1,4,9,62.8,13,7,24000,4,1,1,NA,NA,8,6,4,0
"1689",0,"0114010C",1,2,4,18.49,2,1,3,3,66.67,12,NA,5000,4,1,1,NA,NA,7,-9,3,1
"1690",4,"0114011C",1,1,4,16.02,2,1,3,11,67.63,16,1,0,NA,1,0,NA,NA,NA,NA,NA,2
"1691",NA,"0114012C",1,2,-9,15.47,NA,NA,NA,7,61,NA,NA,NA,4,0,0,NA,NA,NA,NA,NA,NA
"1692",NA,"0114013C",1,2,-9,20.48,NA,NA,NA,11,70.43,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"1693",NA,"0114014C",1,2,4,13.94,2,1,NA,14,61.93,NA,8,20000,NA,0,0,NA,NA,NA,NA,4,NA
"1694",4,"0114015C",1,1,8,17.16,1,2,4,12,70.17,10,1,42000,NA,1,0,NA,NA,NA,NA,NA,0
"1695",NA,"0114017C",1,1,4,18.33,NA,NA,NA,15,64.43,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"1696",4,"0114018C",1,1,4,12.73,2,1,3,9,60.57,13,9,56000,NA,0,0,NA,NA,NA,NA,NA,1
"1697",4,"0114019C",1,1,4,18.98,2,1,3,10,68.93,13,NA,23000,3,0,-1,NA,NA,NA,NA,NA,1
"1698",0,"0114020C",1,2,3,17.26,2,1,5,15,70.47,3,3,13000,3,1,0,NA,NA,NA,NA,NA,0
"1699",0,"0114021C",1,2,4,24.23,2,1,1,16,71.27,10,6,15000,3,1,-1,NA,NA,6,-9,2,2
"1700",0,"0114022C",1,1,4,18.84,2,1,2,10,79,4,NA,20000,NA,1,-1,NA,NA,7,6,4,0
"1701",0,"0114023C",1,2,4,15.22,2,1,1,8,61.27,3,NA,9000,3,0,-1,NA,NA,5,5,4,1
"1702",1,"0114024C",1,1,2,NA,1,2,3,NA,-9,13,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,1
"1703",5,"0115001C",1,2,2,21.38,1,2,1,13,60.5,13,1,0,4,1,1,4,1,NA,NA,NA,3
"1704",6,"0115002C",1,1,3,21.38,1,1,4,9,65.83,10,4,12000,4,-9,-9,4,1,NA,NA,NA,0
